S.No,Page No,e-Published Date,Closing Date,Opening Date,Title,TenderID,Link,Organisation Chain
1,1,27-Sep-2025 03:00 PM,09-Oct-2025 10:00 AM,09-Oct-2025 11:00 AM,"[Maintenance of IEI and EEI to NR Buildings of AH Department  Workshop Division, APWD   during 2024-25. Sw Supply of maintenance materials Section III of Sub Division II]","[Maintenance of IEI and EEI to NR Buildings of AH Department  Workshop Division, APWD   during 2024-25. Sw Supply of maintenance materials Section III of Sub Division II]
																				[NIT No.78/NIT/WSD/2025-26][2025_APWD_20084_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SpXjN6QS%2BWlskqMF%2Fx6YSzA%3D%3D,Chief Engineer                      Andaman Public Works Department (APWD)||EE (Workshop Division - APWD - Port Blair)
2,1,27-Sep-2025 03:00 PM,09-Oct-2025 10:00 AM,09-Oct-2025 11:00 AM,"[Maintenance of IEI and EEI to NR Buildings of Fisheries Department under Section II and  Section III of SD II, WSD, APWD, Port Blair during 2024-25. Sw Supply of maintenance materials Section III of SD II]","[Maintenance of IEI and EEI to NR Buildings of Fisheries Department under Section II and  Section III of SD II, WSD, APWD, Port Blair during 2024-25. Sw Supply of maintenance materials Section III of SD II]
																				[NIT No.77/NIT/WSD/2025-26][2025_APWD_20083_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMY9sW0s%2BUHOGYYPpUaQE9w%3D%3D,Chief Engineer                      Andaman Public Works Department (APWD)||EE (Workshop Division - APWD - Port Blair)
3,1,27-Sep-2025 03:00 PM,09-Oct-2025 10:00 AM,09-Oct-2025 11:00 AM,"[Maintenance of IEI and EEI to NR Buildings Fisheries Department under Section II Section III of SD II, WSD, APWD, PB during 2024 25. Sw Supply of maintenance materials Section II of SD II]","[Maintenance of IEI and EEI to NR Buildings Fisheries Department under Section II Section III of SD II, WSD, APWD, PB during 2024 25. Sw Supply of maintenance materials Section II of SD II]
																				[NIT No.76/NIT/WSD/2025-26][2025_APWD_20081_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1y1MLNaOoC%2B%2FbAb8%2FSQc%2Fw%3D%3D,Chief Engineer                      Andaman Public Works Department (APWD)||EE (Workshop Division - APWD - Port Blair)
4,1,27-Sep-2025 03:00 PM,07-Oct-2025 10:00 AM,07-Oct-2025 11:00 AM,"[Hiring of 01 No TATA 407 Truck for the period of one year from the month of September, 2025 to August, 2026.Without Driver and POL.]","[Hiring of 01 No TATA 407 Truck for the period of one year from the month of September, 2025 to August, 2026.Without Driver and POL.]
																				[NIT.94/NIT/WSD/2025-26][2025_APWD_20078_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SlwWbppc%2BlPAb0D3gxpMYtA%3D%3D,Chief Engineer                      Andaman Public Works Department (APWD)||EE (Workshop Division - APWD - Port Blair)
5,1,27-Sep-2025 03:00 PM,09-Oct-2025 10:00 AM,09-Oct-2025 11:00 AM,"[Maintenance of IEI  and EEI  to  Nirman Nivas under Section II of Sub-Division II, Workshop Division , APWD during 2025-26. Sw Supply of maintenance materials Section II of Sub Division II]","[Maintenance of IEI  and EEI  to  Nirman Nivas under Section II of Sub-Division II, Workshop Division , APWD during 2025-26. Sw Supply of maintenance materials Section II of Sub Division II]
																				[NIT No.81/NIT/WSD/2025-26][2025_APWD_20087_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SRiljjmLJNoc5KtAj2DyE2Q%3D%3D,Chief Engineer                      Andaman Public Works Department (APWD)||EE (Workshop Division - APWD - Port Blair)
6,1,27-Sep-2025 03:00 PM,09-Oct-2025 10:00 AM,09-Oct-2025 11:00 AM,"[Maintenance of IEI to R Buildings 139 Nos. Type I Qtrs,  236 Nos.  Type II Qtrs, 153 Nos. Type III Qtrs, 51 Nos. Type IV Qtrs and 16 Nos. Type V Qtrs  WSD, APWD  during 2025-2026. Sw Supply of maintenance materials Section III of Sub Division II]","[Maintenance of IEI to R Buildings 139 Nos. Type I Qtrs,  236 Nos.  Type II Qtrs, 153 Nos. Type III Qtrs, 51 Nos. Type IV Qtrs and 16 Nos. Type V Qtrs  WSD, APWD  during 2025-2026. Sw Supply of maintenance materials Section III of Sub Division II]
																				[NIT No.80/NIT/WSD/2025-26][2025_APWD_20086_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2Bcs7B7KyrVLl6trN5Cmw8g%3D%3D,Chief Engineer                      Andaman Public Works Department (APWD)||EE (Workshop Division - APWD - Port Blair)
7,1,27-Sep-2025 03:00 PM,09-Oct-2025 10:00 AM,09-Oct-2025 11:00 AM,"[Maintenance of IEI and EEI to NR buildings under Section III of SD II, WSD, APWD during 2025-2026. Sw Supply of maintenance materials Section III of Sub Division II]","[Maintenance of IEI and EEI to NR buildings under Section III of SD II, WSD, APWD during 2025-2026. Sw Supply of maintenance materials Section III of Sub Division II]
																				[NIT No.79/NIT/WSD/2025-26][2025_APWD_20085_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Scsy%2BEnqP8GmWiNFOk%2BG%2F4w%3D%3D,Chief Engineer                      Andaman Public Works Department (APWD)||EE (Workshop Division - APWD - Port Blair)
8,1,27-Sep-2025 12:10 PM,13-Oct-2025 02:30 PM,13-Oct-2025 03:30 PM,"[Renovation of Vehicle Parking shed, Oil Godown and Carpentry Shed at Rampur under Rangat Range ]","[Renovation of Vehicle Parking shed, Oil Godown and Carpentry Shed at Rampur under Rangat Range ]
																				[MA/2(S)/98/01][2025_DFOMA_20080_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sh4Zht2cjP68xDRlfMozWmA%3D%3D,Department of Environment and Forests||Office of Divisional Forest Officer Middle Andaman
9,1,27-Sep-2025 09:00 AM,07-Oct-2025 04:00 PM,08-Oct-2025 09:00 AM,"[Deployment of 04 Nos Sanitary Worker(Unskilled Category) on as and when required basis for various works i.e. Bush Cutting, Drain Cleaning, loading and unloading of waste to cluster etc under Gram Panchayat Parnashala]","[Deployment of 04 Nos Sanitary Worker(Unskilled Category) on as and when required basis for various works i.e. Bush Cutting, Drain Cleaning, loading and unloading of waste to cluster etc under Gram Panchayat Parnashala]
																				[1-103/GP/PS/2025/274][2025_RDPRI_20076_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sw1FPYCnDBKs%2F5pnlqRlbfA%3D%3D,DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Rangat/Panchayat Samiti Rangat||Parnasala Gram Panchayat
10,1,27-Sep-2025 09:00 AM,13-Oct-2025 10:00 AM,13-Oct-2025 11:00 AM,[Re-e-tender notice for streetlight Annual Maintenance Contract under Gram Panchayat Sundergarh Baratang Middle Andaman A and N Islands],"[Re-e-tender notice for streetlight Annual Maintenance Contract under Gram Panchayat Sundergarh Baratang Middle Andaman A and N Islands]
																				[46/GPS/BT/AMC/2025-26/175 dtd 19/9/25][2025_RDPRI_20069_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQzxoYvD%2FBMI%2Fu0SHNYrRlw%3D%3D,DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Rangat/Panchayat Samiti Rangat||Sundergarh Gram Panchayat
11,1,26-Sep-2025 05:00 PM,03-Oct-2025 03:00 PM,03-Oct-2025 04:00 PM,[Construction of drain with renovation of footpath PBMC play ground to Shri. Rajeshwari house at Fisherman Colony Ward No. 01],"[Construction of drain with renovation of footpath PBMC play ground to Shri. Rajeshwari house at Fisherman Colony Ward No. 01]
																				[39 /EE/Wks-I/MC/2024-25][2025_PMBC_20074_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SzmoWxS6EI7xqh75QePp5vg%3D%3D,Port Blair Municipal Council||EE - I
12,1,26-Sep-2025 05:00 PM,03-Oct-2025 03:00 PM,03-Oct-2025 03:30 PM,"[A/R  M/O Rural Road under Sub-Division No.II, NACD, APWD, Mayabunder. SW-Construction of Retaining wall for sliding portion of road at Tugapur No.8 near Birsa Nallah under Sub-Division No.II, NACD, APWD, Mayabunder]","[A/R  M/O Rural Road under Sub-Division No.II, NACD, APWD, Mayabunder. SW-Construction of Retaining wall for sliding portion of road at Tugapur No.8 near Birsa Nallah under Sub-Division No.II, NACD, APWD, Mayabunder]
																				[NIT No. 72/2025-26/EE/NACD][2025_APWD_20075_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2BD8dhYINPstroSfyxU3Rnw%3D%3D,Chief Engineer                      Andaman Public Works Department (APWD)||EE (NACD - APWD - Mayabunder)
13,1,26-Sep-2025 03:00 PM,03-Oct-2025 03:00 PM,03-Oct-2025 04:00 PM,"[Renovation of footpath from TNM club to Ramesh house at PakkaBarrek, Ward No. 01.]","[Renovation of footpath from TNM club to Ramesh house at PakkaBarrek, Ward No. 01.]
																				[32/EE/wks-I/MC/2025-26][2025_PMBC_20073_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S%2B8uGBB%2BFqohWz0rfPW8CQg%3D%3D,Port Blair Municipal Council||EE - I
14,1,26-Sep-2025 03:00 PM,06-Oct-2025 03:00 PM,06-Oct-2025 03:30 PM,[Supply of Laboratory Reagents and Consumables  Items],"[Supply of Laboratory Reagents and Consumables  Items]
																				[E124032Proc/32/2025-CMS/1014][2025_DHS_20070_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SFFEyqaIgiQjCKRU2J%2Fw7fw%3D%3D,Directorate of  Health Services||CMO Store
15,1,26-Sep-2025 01:00 PM,08-Oct-2025 03:00 PM,08-Oct-2025 03:30 PM,"[Minor Repair and painting of CFO Nallah Steel Bailey Bridge under Betapur section, SD-III, APWD, Mayabunder]","[Minor Repair and painting of CFO Nallah Steel Bailey Bridge under Betapur section, SD-III, APWD, Mayabunder]
																				[NIT No. 70/2025-26/EE/NACD][2025_APWD_20071_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SReA%2FVU9Yv8MSFpg%2F77VrmA%3D%3D,Chief Engineer                      Andaman Public Works Department (APWD)||EE (NACD - APWD - Mayabunder)
16,1,26-Sep-2025 01:00 PM,08-Oct-2025 03:00 PM,08-Oct-2025 03:30 PM,"[Construction of Galvanised Iron Foot Bridge over Nallah Swadeshnagar to connect Shantipur village with NH 207 km under NACD, APWD, Mayabunder.SW-Reconstruction of 01 No. Wing wall with slided portion of approach path]","[Construction of Galvanised Iron Foot Bridge over Nallah Swadeshnagar to connect Shantipur village with NH 207 km under NACD, APWD, Mayabunder.SW-Reconstruction of 01 No. Wing wall with slided portion of approach path]
																				[NIT No. 71/2025-26/EE/NACD][2025_APWD_20072_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sfxs5DCJscgYMkXWEBIhkYA%3D%3D,Chief Engineer                      Andaman Public Works Department (APWD)||EE (NACD - APWD - Mayabunder)
17,1,26-Sep-2025 12:00 PM,03-Oct-2025 05:00 PM,06-Oct-2025 09:00 AM,[Supply of manpower/Labour for Solid waste management],"[Supply of manpower/Labour for Solid waste management]
																				[27/GPHG/e-tender/2025-26/184][2025_RDPRI_20064_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=STalqLjZUIElRAfjNcYzB0A%3D%3D,DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Ferrargunj/Panch Samiti Ferrargunj||Humphrygunj Gram Panchayat
18,1,26-Sep-2025 10:00 AM,02-Oct-2025 05:00 PM,03-Oct-2025 09:00 AM,[Deployment of vehicle for garbage collection and disposal],"[Deployment of vehicle for garbage collection and disposal]
																				[1-8/GPHG/e- Tender/2025-26/183][2025_RDPRI_20061_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SoD8uoYzx6d6IZKFRdf5pkg%3D%3D,DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Ferrargunj/Panch Samiti Ferrargunj||Humphrygunj Gram Panchayat
19,1,26-Sep-2025 09:30 AM,06-Oct-2025 03:00 PM,06-Oct-2025 03:30 PM,"[Acquisition of Stock, under EE, CD, APWD, Diglipur during 2025-26. Sw- Supply of Ferric Alum]","[Acquisition of Stock, under EE, CD, APWD, Diglipur during 2025-26. Sw- Supply of Ferric Alum]
																				[NIT No. 47/EE/CD/APWD/DP/2025-26][2025_APWD_20067_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SR2zeVLS3V8clMzT7lwuBYA%3D%3D,Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD - APWD - Diglipur
20,1,26-Sep-2025 09:30 AM,03-Oct-2025 03:00 PM,03-Oct-2025 03:30 PM,"[A R and M o State Highway-15 under SD-II, CD, APWD, Diglipur during 2025-26. Sw- Reconstruction of damaged partially collapsed culvert at CH 2861.10 mtr in SH-15 under Madhupur Section]","[A R and M o State Highway-15 under SD-II, CD, APWD, Diglipur during 2025-26. Sw- Reconstruction of damaged partially collapsed culvert at CH 2861.10 mtr in SH-15 under Madhupur Section]
																				[NIT No. 48/EE/CD/APWD/DP/2025-26][2025_APWD_20068_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SBGOsqT8E66mv0LRChrq%2FHA%3D%3D,Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD - APWD - Diglipur
41,3,23-Sep-2025 05:00 PM,30-Sep-2025 10:00 AM,30-Sep-2025 10:30 AM,[Supply of Dietary Articles for PHC TUGAPUR],"[Supply of Dietary Articles for PHC TUGAPUR]
																				[ E-6/DIETARY ARTICLES/TPUR/MB/2025/1105][2025_DHS_20043_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S2zWAzU2TEqMUvFqyyJ7lAg%3D%3D,Directorate of  Health Services||MS - Dr. RPH
42,3,23-Sep-2025 05:00 PM,01-Oct-2025 10:00 AM,01-Oct-2025 10:30 AM,"[AR  MO State Non Residential Building under Bambooflat Sub Division, RCD, APWD, Wimberly Gunj during 2025 26.]","[AR  MO State Non Residential Building under Bambooflat Sub Division, RCD, APWD, Wimberly Gunj during 2025 26.]
																				[No.Quot/DB/RCD/APWD/WG/2025-26][2025_APWD_20039_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SKcClXZLpj%2F%2BD1MCZWRAZ%2FQ%3D%3D,Chief Engineer                      Andaman Public Works Department (APWD)||EE (RCD - APWD - Wimberlygunj)
43,3,23-Sep-2025 05:00 PM,01-Oct-2025 10:00 AM,01-Oct-2025 10:30 AM,"[AR  MO Water Supply under Assistant Bambooflat Sub Division, RCD, APWD, Wimberly Gunj during 2025 26.]","[AR  MO Water Supply under Assistant Bambooflat Sub Division, RCD, APWD, Wimberly Gunj during 2025 26.]
																				[No.Quot/DB/RCD/APWD/WG/2025-26][2025_APWD_20038_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SXKskgv25krZrStzZgSmmjQ%3D%3D,Chief Engineer                      Andaman Public Works Department (APWD)||EE (RCD - APWD - Wimberlygunj)
44,3,23-Sep-2025 04:30 PM,22-Oct-2025 03:30 PM,23-Oct-2025 10:30 AM,[Supply of Hydraulic Excavator ],"[Supply of Hydraulic Excavator ]
																				[NIT No.31/DB/PHED/2025-26][2025_APWD_20041_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SGr6z9x9bmgs9%2B%2B1xcjRszg%3D%3D,Chief Engineer                      Andaman Public Works Department (APWD)||EE - PHED - APWD - Prothrapur
45,3,23-Sep-2025 04:00 PM,14-Oct-2025 03:00 PM,15-Oct-2025 10:30 AM,[Strengthening of road side berm from Dollygunj Junction to Water Treatment Plant Dollygunj],"[Strengthening of road side berm from Dollygunj Junction to Water Treatment Plant Dollygunj]
																				[18/EE/SAD/APWD/2025-26][2025_APWD_20029_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SF1KJe0iRQetK6nG%2F2QDEvw%3D%3D,Chief Engineer                      Andaman Public Works Department (APWD)||EE  (SAD - APWD - Port Blair)
46,3,23-Sep-2025 04:00 PM,14-Oct-2025 03:00 PM,15-Oct-2025 10:30 AM,[Resurfacing and Improvement of road from CAT Junction to IP and  T junction via Model School BSNL Office],"[Resurfacing and Improvement of road from CAT Junction to IP and  T junction via Model School BSNL Office]
																				[16/SE/SVPCC/2024-25][2025_APWD_20033_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SQHzlBjTIo8fTDx0E2T5DsQ%3D%3D,Chief Engineer                      Andaman Public Works Department (APWD)||EE  (SAD - APWD - Port Blair)
47,3,23-Sep-2025 03:35 PM,30-Sep-2025 03:00 PM,30-Sep-2025 04:00 PM,"[Construction of Footpath from Dharma House to Shri. Shiva House, Ward No.18.]","[Construction of Footpath from Dharma House to Shri. Shiva House, Ward No.18.]
																				[26/EE-III/W/MC/2025-26][2025_PMBC_20037_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMxgbPNXBYQe%2FLvS30WUq9Q%3D%3D,Port Blair Municipal Council||EE - III
48,3,23-Sep-2025 03:00 PM,03-Oct-2025 11:00 AM,03-Oct-2025 11:30 AM,[Supply of medicine],"[Supply of medicine]
																				[E22226Proc-247/2/2023/999][2025_DHS_20036_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SkLesBHMyz7Q%2BGOL6RsthdQ%3D%3D,Directorate of  Health Services||CMO Store
49,3,23-Sep-2025 03:00 PM,03-Oct-2025 09:00 AM,03-Oct-2025 10:30 AM,[reTender Notice for Vehicle for Garbage.Wastage from the entire village under GP Shibpur and its disposal at SLWN Plant under GP Keralapuram],"[reTender Notice for Vehicle for Garbage.Wastage from the entire village under GP Shibpur and its disposal at SLWN Plant under GP Keralapuram]
																				[3-14/SPGP/DP/2025-26/155][2025_RDPRI_20034_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SHs%2BJgoGEtiVs1rfnETuTbw%3D%3D,DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Diglipur/Panchayat Samiti Diglipur||Shibpur Gram Panchayat
50,3,23-Sep-2025 11:00 AM,29-Sep-2025 03:00 PM,29-Sep-2025 04:00 PM,"[AR and  MO road under SD-II, APWD, Car Nicobar during 2025-26.]","[AR and  MO road under SD-II, APWD, Car Nicobar during 2025-26.]
																				[e-tender-DB/CD/CN/2025-26/1722][2025_APWD_19951_2]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SdSM3DtxmxXd02Kg%2BMghKRw%3D%3D,Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD - APWD - Car Nicobar
51,3,23-Sep-2025 10:40 AM,13-Oct-2025 06:00 PM,14-Oct-2025 10:30 AM,[Repair and Mainteanance of Ventilator of Japanese bunker at Chengappa Nagar Van under Silviculture Division Haddo],"[Repair and Mainteanance of Ventilator of Japanese bunker at Chengappa Nagar Van under Silviculture Division Haddo]
																				[F No Silva/S-421/387 dated 28.07.2025][2025_DCFSL_19412_2]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Seh1BgqXfGgpPbJ%2F6OWckZg%3D%3D,Department of Environment and Forests||Office of Deputy Conservator of Forests Silviculture
52,3,23-Sep-2025 10:00 AM,01-Oct-2025 03:00 PM,01-Oct-2025 03:30 PM,[CONSTRUCTION OF RAIN WATER HARVESTING TANK],"[CONSTRUCTION OF RAIN WATER HARVESTING TANK]
																				[WP/S-136/519][2025_DCFWP_20028_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SaVlkg7NemxQsGOhMeCEdCg%3D%3D,Department of Environment and Forests||Office of DCF (Working Plan)
53,3,23-Sep-2025 09:00 AM,30-Sep-2025 10:30 AM,30-Sep-2025 11:00 AM,[e tender notice for testing and analysis service of contraband substance seized under Narcotic Act.],"[e tender notice for testing and analysis service of contraband substance seized under Narcotic Act.]
																				[DYSP-CID-POLICE_AN/182][2025_ANP_20023_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Stu%2FWIHBbOZ1Nbisg0NsSwg%3D%3D,Andaman and Nicobar Police||Superintendent of Police CID
54,3,23-Sep-2025 09:00 AM,29-Sep-2025 05:00 PM,30-Sep-2025 11:00 AM,[Tender Notice for Streetlight Annual Maintenance Contract Under Gram Panchayat Nilambur Andaman and Nicobar Islands],"[Tender Notice for Streetlight Annual Maintenance Contract Under Gram Panchayat Nilambur Andaman and Nicobar Islands]
																				[1-29/GP-NB/2025-26/285][2025_RDPRI_20027_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SBqlOBaRewbqPmppdjnANbg%3D%3D,DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Rangat/Panchayat Samiti Rangat||Nilambur Gram Panchayat
55,3,22-Sep-2025 05:30 PM,30-Sep-2025 03:00 PM,30-Sep-2025 03:30 PM,"[A R and M O water supply, under SD-I, CD, APWD, Diglipur during 2025-26 Sw- Supplying of Hydraulic Excavator Machine and Truck as and when required basis]","[A R and M O water supply, under SD-I, CD, APWD, Diglipur during 2025-26 Sw- Supplying of Hydraulic Excavator Machine and Truck as and when required basis]
																				[NIT No. 36/EE/CD/APWD/DP/2025-26][2025_APWD_20014_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sfgx23CeQCT%2FueEMrnXOd9A%3D%3D,Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD - APWD - Diglipur
56,3,22-Sep-2025 05:30 PM,03-Oct-2025 03:00 PM,03-Oct-2025 03:30 PM,"[Replacement of damaged and rusted main pumping line with new pipes and pipe fittings wherever required from Subashgram pump house to Morich Tikrey under SD-II, CD,APWD, Diglipur]","[Replacement of damaged and rusted main pumping line with new pipes and pipe fittings wherever required from Subashgram pump house to Morich Tikrey under SD-II, CD,APWD, Diglipur]
																				[NIT No. 11/EE/CD/APWD/DP/2025-26][2025_APWD_20018_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SiBTKFjuFCfHDRhbkVYCAfw%3D%3D,Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD - APWD - Diglipur
57,3,22-Sep-2025 05:30 PM,30-Sep-2025 03:00 PM,30-Sep-2025 03:30 PM,"[Improvement of State Highway for a length of 4.00 km of different stretches from 0.00 km to 12.00 km under SD-III, CD, APWD, Diglipur. Sw- Supply of GI pipes and fittings]","[Improvement of State Highway for a length of 4.00 km of different stretches from 0.00 km to 12.00 km under SD-III, CD, APWD, Diglipur. Sw- Supply of GI pipes and fittings]
																				[NIT No. 45/EE/CD/APWD/DP/2025-26][2025_APWD_20013_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S1hEl%2FkDso76rT9ZnFhdYmg%3D%3D,Chief Engineer                      Andaman Public Works Department (APWD)||EE - CD - APWD - Diglipur
58,3,22-Sep-2025 05:00 PM,16-Oct-2025 10:00 AM,16-Oct-2025 11:00 AM,[Supply of Man power],"[Supply of Man power]
																				[Supply of Manpower for GP Nabagram][2025_RDPRI_20031_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sg5paYXcxXTOmoFpepdg0dw%3D%3D,DIRECTORATE OF RD PRIS and ULBS||BDO C.D Block Diglipur/Panchayat Samiti Diglipur||Nabagram Gram Panchayat
59,3,22-Sep-2025 05:00 PM,07-Oct-2025 11:00 AM,07-Oct-2025 11:30 AM,[Repair of Bituminous Road],"[Repair of Bituminous Road]
																				[ANFTI/G-58/2025-26/316 dt. 22/09/2025][2025_DFTIW_20030_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SGiW7CTvdFHCHo8VCyiBWIQ%3D%3D,Department of Environment and Forests||Office of Director Forest Training Institute Wimberlygunj
60,3,22-Sep-2025 05:00 PM,30-Sep-2025 03:00 PM,30-Sep-2025 04:00 PM,"[Construction of Footpath and Toe Wall starting from Shri. Seveyar Ghop House at Rajiv Nagar, Garacharma in Ward No.18.]","[Construction of Footpath and Toe Wall starting from Shri. Seveyar Ghop House at Rajiv Nagar, Garacharma in Ward No.18.]
																				[21/EE-III/W/MC/2025-26][2025_PMBC_20032_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=SMQPuex5tgknvujcNR04x9g%3D%3D,Port Blair Municipal Council||EE - III
101,6,09-Sep-2025 05:00 PM,29-Sep-2025 10:30 AM,29-Sep-2025 11:00 AM,[Hiring of Speed Boat],"[Hiring of Speed Boat]
																				[M/326/2025/PMF/I/246636/2025 dtd. 09/09/25][2025_ANP_19896_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=S6x1YxLkVhmsBm1Lnz6YL6g%3D%3D,Andaman and Nicobar Police||Superintendent of Police Marine Force
102,6,09-Sep-2025 05:00 PM,29-Sep-2025 03:00 PM,30-Sep-2025 03:30 PM,[Supply Of Spares],"[Supply Of Spares]
																				[Proc/27/2025-P.S-TPT/8998][2025_DoT_19892_1]",https://etender.up.nic.in/nicgep/app?component=%24DirectLink_0&page=FrontEndAdvancedSearchResult&service=direct&session=T&sp=Sgbc4ubX2a5bhM3r12JfiMg%3D%3D,Directorate of Transport||Purchase Section
